ISBN,Title,Author,Quantity,AvailableQuantity
978-695-3436-12-0,Ego is the Enemy,Budi Wahyuni,5,5
978-491-1739-75-0,Stillness is the Key,Fajar Wijaya,5,5
978-738-8372-84-2,Digital Minimalism,Ilham Santoso,5,5
978-382-2674-86-9,How to Win Friends and Influence People,Eka Wijaya,5,5
978-736-2826-77-5,Thinking in Systems,Budi Wijaya,5,5
978-616-8877-72-6,The Art of Thinking Clearly,Gita Nugroho,5,5
978-275-8946-67-3,The 7 Habits of Highly Effective People,Eka Nugroho,5,5
978-642-6206-80-3,Outliers,Ilham Saputra,5,5
978-415-2369-54-5,Grit,Fajar Wijaya,5,5
978-828-8514-12-9,Blink,Gita Santoso,5,5
978-480-9937-95-9,Drive,Eka Prasetya,5,5
978-801-1767-91-2,Man’s Search for Meaning,Fajar Saputra,5,5
978-429-2706-93-0,The Lean Startup,Hana Siregar,5,5
978-399-9096-47-6,Zero to One,Budi Prasetya,5,5
978-534-3060-99-4,The Innovator’s Dilemma,Joko Nugroho,5,5
978-533-5368-73-7,Rework,Ilham Wahyuni,5,5
978-499-4531-84-7,Hooked,Budi Wijaya,5,5
978-979-8300-42-6,Good to Great,Budi Wahyuni,5,5
978-318-8830-20-4,The Hard Thing About Hard Things,Gita Wahyuni,5,5
978-574-1647-87-7,Crushing It!,Dina Nugroho,5,5
978-208-2005-15-6,Can’t Hurt Me,Ilham Nugroho,5,5
978-689-4103-92-1,Tools of Titans,Gita Putri,5,5
978-533-7493-13-9,Steal Like an Artist,Joko Wahyuni,5,5
978-725-2202-50-5,Show Your Work!,Dina Wahyuni,5,5
978-780-6392-77-4,The War of Art,Fajar Putri,5,5
978-356-9411-15-6,The Dip,Eka Wahyuni,5,5
978-415-1182-94-2,The One Thing,Citra Hidayat,5,5
978-660-2071-79-9,Essentialism,Fajar Saputra,5,5
978-908-5843-24-7,"Start Over, Finish Rich",Joko Nugroho,5,5
978-856-5947-63-5,I Will Teach You to Be Rich,Gita Prasetya,5,5
978-652-2092-98-4,Make Time,Joko Wijaya,5,5
978-860-6848-50-9,Your Money or Your Life,Citra Prasetya,5,5
978-559-7691-38-0,The Millionaire Fastlane,Dina Wahyuni,5,5
978-351-8382-10-9,Rich Dad's Cashflow Quadrant,Ilham Santoso,5,5
978-657-5266-27-3,Unshakeable,Budi Nugroho,5,5
978-995-7021-55-6,Money Master the Game,Fajar Prasetya,5,5
978-400-2115-88-8,Principles,Hana Putri,5,5
978-431-7452-63-3,The Ride of a Lifetime,Fajar Hidayat,5,5
978-771-2552-57-8,The Compound Effect,Budi Siregar,5,5
978-725-6870-94-0,Atomic Thinking,Gita Saputra,5,5
978-741-1081-44-1,Mini Habits,Fajar Putri,5,5
978-646-2591-83-0,Mindset,Budi Wijaya,5,5
978-893-5719-27-3,Unlimited Power,Citra Santoso,5,5
